Gene	mRNA	GN
SoyZH13_07G054400	SoyZH13_07G054400.m2	25500713
SoyZH13_07G054400	SoyZH13_07G054400.m3	25500713
SoyZH13_07G058000	SoyZH13_07G058000.m1	25500592
SoyZH13_07G061000	SoyZH13_07G061000.m1	100808315
SoyZH13_07G065900	SoyZH13_07G065900.m1	LOC108999171
SoyZH13_07G065900	SoyZH13_07G065900.m2	LOC108999171
SoyZH13_07G071200	SoyZH13_07G071200.m1	102664581
SoyZH13_07G071200	SoyZH13_07G071200.m2	102664581
SoyZH13_07G080100	SoyZH13_07G080100.m4	100818116
SoyZH13_07G092100	SoyZH13_07G092100.m1	100809575
SoyZH13_07G097200	SoyZH13_07G097200.m1	AT1G18270
SoyZH13_07G101700	SoyZH13_07G101700.m1	LOC113864705
SoyZH13_07G114100	SoyZH13_07G114100.m2	CER1
SoyZH13_07G114600	SoyZH13_07G114600.m2	LOC103696232
SoyZH13_07G118500	SoyZH13_07G118500.m1	PFK
SoyZH13_07G118500	SoyZH13_07G118500.m2	PFK
SoyZH13_07G130000	SoyZH13_07G130000.m1	MCFB
SoyZH13_07G149900	SoyZH13_07G149900.m1	PFP-ALPHA
SoyZH13_07G153501	SoyZH13_07G153501.m1	102603927
SoyZH13_07G175700	SoyZH13_07G175700.m1	LOC113857498
SoyZH13_07G175700	SoyZH13_07G175700.m2	LOC113857498
SoyZH13_07G175700	SoyZH13_07G175700.m3	LOC113857498
SoyZH13_07G177200	SoyZH13_07G177200.m1	11430366
SoyZH13_07G177200	SoyZH13_07G177200.m2	11430366
SoyZH13_07G183500	SoyZH13_07G183500.m1	11439284
SoyZH13_07G183500	SoyZH13_07G183500.m2	11439284
SoyZH13_07G183500	SoyZH13_07G183500.m3	11439284
SoyZH13_07G183500	SoyZH13_07G183500.m4	11439284
SoyZH13_07G183500	SoyZH13_07G183500.m5	11439284
SoyZH13_07G183500	SoyZH13_07G183500.m6	11439284
SoyZH13_07G183500	SoyZH13_07G183500.m7	11439284
SoyZH13_07G199100	SoyZH13_07G199100.m1	CRR42
SoyZH13_07G199100	SoyZH13_07G199100.m2	CRR42
SoyZH13_07G199100	SoyZH13_07G199100.m3	CRR42
SoyZH13_07G204100	SoyZH13_07G204100.m1	25492999
SoyZH13_07G204100	SoyZH13_07G204100.m2	25492999
SoyZH13_07G204100	SoyZH13_07G204100.m3	25492999
SoyZH13_07G204100	SoyZH13_07G204100.m4	25492999
SoyZH13_07G205200	SoyZH13_07G205200.m1	MSG
SoyZH13_07G209400	SoyZH13_07G209400.m1	100804948
SoyZH13_07G209400	SoyZH13_07G209400.m2	100804948
SoyZH13_07G210200	SoyZH13_07G210200.m1	AT1G55535
SoyZH13_07G216400	SoyZH13_07G216400.m2	100819719
SoyZH13_07G216400	SoyZH13_07G216400.m3	100819719
SoyZH13_07G216400	SoyZH13_07G216400.m4	100819719
SoyZH13_07G216400	SoyZH13_07G216400.m5	100819719
SoyZH13_07G218300	SoyZH13_07G218300.m2	LOC109013042
SoyZH13_07G233500	SoyZH13_07G233500.m1	100810441
SoyZH13_07G233500	SoyZH13_07G233500.m2	100810441
SoyZH13_07G233500	SoyZH13_07G233500.m3	100810441
SoyZH13_07G233500	SoyZH13_07G233500.m4	100810441
SoyZH13_07G248100	SoyZH13_07G248100.m1	PFP-BETA
SoyZH13_07G248100	SoyZH13_07G248100.m2	PFP-BETA
SoyZH13_07G249700	SoyZH13_07G249700.m1	UAF30
SoyZH13_07G249700	SoyZH13_07G249700.m2	UAF30
SoyZH13_07G253500	SoyZH13_07G253500.m1	PFK
SoyZH13_07G254200	SoyZH13_07G254200.m1	25494349
SoyZH13_08G000600	SoyZH13_08G000600.m1	LOC113853724
SoyZH13_08G003201	SoyZH13_08G003201.m2	11437239
SoyZH13_08G007400	SoyZH13_08G007400.m1	25501980
SoyZH13_08G011700	SoyZH13_08G011700.m1	LOC113854032
SoyZH13_08G011700	SoyZH13_08G011700.m2	LOC113854032
SoyZH13_08G014200	SoyZH13_08G014200.m3	LOC110425021
SoyZH13_08G019400	SoyZH13_08G019400.m1	DIR2-1
SoyZH13_08G030500	SoyZH13_08G030500.m1	PFK
SoyZH13_08G044800	SoyZH13_08G044800.m1	GATB
SoyZH13_08G050300	SoyZH13_08G050300.m1	11415765
SoyZH13_08G050300	SoyZH13_08G050300.m2	11415765
SoyZH13_08G055000	SoyZH13_08G055000.m1	CHX15
SoyZH13_08G056400	SoyZH13_08G056400.m1	LOC113857498
SoyZH13_08G056400	SoyZH13_08G056400.m2	LOC113857498
SoyZH13_08G056400	SoyZH13_08G056400.m3	LOC113857498
SoyZH13_08G056400	SoyZH13_08G056400.m4	LOC113857498
SoyZH13_08G056400	SoyZH13_08G056400.m5	LOC113857498
SoyZH13_08G056400	SoyZH13_08G056400.m8	LOC113857498
SoyZH13_08G078500	SoyZH13_08G078500.m1	LSM5
SoyZH13_08G078500	SoyZH13_08G078500.m2	LSM5
SoyZH13_08G080300	SoyZH13_08G080300.m1	11440688
SoyZH13_08G080400	SoyZH13_08G080400.m1	11444988
SoyZH13_08G080400	SoyZH13_08G080400.m2	11444988
SoyZH13_08G080700	SoyZH13_08G080700.m1	NPRB7
SoyZH13_08G090500	SoyZH13_08G090500.m1	11418114
SoyZH13_08G090500	SoyZH13_08G090500.m2	11418114
SoyZH13_08G097200	SoyZH13_08G097200.m1	UREA
SoyZH13_08G100502	SoyZH13_08G100502.m1	RPS19
SoyZH13_08G113300	SoyZH13_08G113300.m1	102664581
SoyZH13_08G113500	SoyZH13_08G113500.m1	102664581
SoyZH13_08G115100	SoyZH13_08G115100.m1	AG
SoyZH13_08G115100	SoyZH13_08G115100.m2	AG
SoyZH13_08G137100	SoyZH13_08G137100.m1	AT4G39420
SoyZH13_08G137100	SoyZH13_08G137100.m2	AT4G39420
SoyZH13_08G137100	SoyZH13_08G137100.m3	AT4G39420
SoyZH13_08G137100	SoyZH13_08G137100.m4	AT4G39420
SoyZH13_08G142200	SoyZH13_08G142200.m11	LOC109001502
SoyZH13_08G157100	SoyZH13_08G157100.m1	LOC107465606
SoyZH13_08G159800	SoyZH13_08G159800.m2	LIPA
SoyZH13_08G164200	SoyZH13_08G164200.m1	11408361
SoyZH13_08G164200	SoyZH13_08G164200.m2	11408361
SoyZH13_08G164200	SoyZH13_08G164200.m4	11408361
SoyZH13_08G164200	SoyZH13_08G164200.m6	11408361
SoyZH13_08G164200	SoyZH13_08G164200.m7	11408361
SoyZH13_08G165000	SoyZH13_08G165000.m1	LSM8
SoyZH13_08G165000	SoyZH13_08G165000.m2	LSM8
SoyZH13_08G165001	SoyZH13_08G165001.m1	PM28
SoyZH13_08G168000	SoyZH13_08G168000.m1	11435005
SoyZH13_08G168000	SoyZH13_08G168000.m2	11435005
SoyZH13_08G168000	SoyZH13_08G168000.m3	11435005
SoyZH13_08G169400	SoyZH13_08G169400.m1	PYD2
SoyZH13_08G173000	SoyZH13_08G173000.m1	PSD2
SoyZH13_08G173000	SoyZH13_08G173000.m2	PSD2
SoyZH13_08G183900	SoyZH13_08G183900.m1	MED9
SoyZH13_08G183900	SoyZH13_08G183900.m2	MED9
SoyZH13_08G190800	SoyZH13_08G190800.m1	PFK
SoyZH13_08G198400	SoyZH13_08G198400.m1	KATNA1
SoyZH13_08G198400	SoyZH13_08G198400.m2	KATNA1
SoyZH13_08G204400	SoyZH13_08G204400.m1	COQ5
SoyZH13_08G207600	SoyZH13_08G207600.m1	LOC107463779
SoyZH13_08G207600	SoyZH13_08G207600.m3	LOC107463779
SoyZH13_08G210200	SoyZH13_08G210200.m1	25491226
SoyZH13_08G210200	SoyZH13_08G210200.m5	25491226
SoyZH13_08G210200	SoyZH13_08G210200.m7	25491226
SoyZH13_08G231900	SoyZH13_08G231900.m1	25497511
SoyZH13_08G231900	SoyZH13_08G231900.m2	25497511
SoyZH13_08G231900	SoyZH13_08G231900.m3	25497511
SoyZH13_08G239200	SoyZH13_08G239200.m1	REV
SoyZH13_08G249302	SoyZH13_08G249302.m1	AROE
SoyZH13_08G249303	SoyZH13_08G249303.m1	SKDH
SoyZH13_08G253100	SoyZH13_08G253100.m1	25501534
SoyZH13_08G253100	SoyZH13_08G253100.m2	25501534
SoyZH13_08G253100	SoyZH13_08G253100.m3	25501534
SoyZH13_08G253100	SoyZH13_08G253100.m4	25501534
SoyZH13_08G254400	SoyZH13_08G254400.m2	100798577
SoyZH13_08G265000	SoyZH13_08G265000.m1	PFK
SoyZH13_08G270803	SoyZH13_08G270803.m1	MED4
SoyZH13_08G274800	SoyZH13_08G274800.m1	100809644
SoyZH13_08G274800	SoyZH13_08G274800.m2	100809644
SoyZH13_08G274800	SoyZH13_08G274800.m3	100809644
SoyZH13_08G274800	SoyZH13_08G274800.m4	100809644
SoyZH13_08G274800	SoyZH13_08G274800.m5	100809644
SoyZH13_08G280000	SoyZH13_08G280000.m1	MED10
SoyZH13_08G284901	SoyZH13_08G284901.m1	LOC107944727
SoyZH13_08G292200	SoyZH13_08G292200.m1	25490508
SoyZH13_08G292200	SoyZH13_08G292200.m2	25490508
SoyZH13_08G292200	SoyZH13_08G292200.m3	25490508
SoyZH13_08G293900	SoyZH13_08G293900.m1	GATA
SoyZH13_08G304501	SoyZH13_08G304501.m1	HISH
SoyZH13_08G311800	SoyZH13_08G311800.m1	11444856
SoyZH13_08G311800	SoyZH13_08G311800.m2	11444856
SoyZH13_08G314000	SoyZH13_08G314000.m1	25490737
SoyZH13_08G333001	SoyZH13_08G333001.m4	RP-L13AE
SoyZH13_08G333002	SoyZH13_08G333002.m1	RP-L13AE
SoyZH13_08G334000	SoyZH13_08G334000.m1	LOC106758119
SoyZH13_08G338900	SoyZH13_08G338900.m1	11410975
SoyZH13_08G338900	SoyZH13_08G338900.m2	11410975
SoyZH13_08G341400	SoyZH13_08G341400.m1	HD3A
SoyZH13_08G341500	SoyZH13_08G341500.m1	HD3A
SoyZH13_08G343000	SoyZH13_08G343000.m1	RPL2
SoyZH13_09G003200	SoyZH13_09G003200.m1	102668053
SoyZH13_09G003200	SoyZH13_09G003200.m2	102668053
SoyZH13_09G003200	SoyZH13_09G003200.m3	102668053
SoyZH13_09G007200	SoyZH13_09G007200.m3	H1
SoyZH13_09G007200	SoyZH13_09G007200.m4	H1
SoyZH13_09G007700	SoyZH13_09G007700.m1	PFP-BETA
SoyZH13_09G017100	SoyZH13_09G017100.m1	25494349
SoyZH13_09G017100	SoyZH13_09G017100.m2	25494349
SoyZH13_09G017100	SoyZH13_09G017100.m3	25494349
SoyZH13_09G017100	SoyZH13_09G017100.m4	25494349
SoyZH13_09G017100	SoyZH13_09G017100.m5	25494349
SoyZH13_09G025200	SoyZH13_09G025200.m1	11412446
SoyZH13_09G034100	SoyZH13_09G034100.m1	11412481
SoyZH13_09G038000	SoyZH13_09G038000.m1	COX2
SoyZH13_09G038000	SoyZH13_09G038000.m2	COX2
SoyZH13_09G038000	SoyZH13_09G038000.m3	COX2
SoyZH13_09G039000	SoyZH13_09G039000.m1	AT4G16070
SoyZH13_09G042400	SoyZH13_09G042400.m1	LOC113864684
SoyZH13_09G048600	SoyZH13_09G048600.m1	CESA4
SoyZH13_09G056400	SoyZH13_09G056400.m1	11441580
SoyZH13_09G056400	SoyZH13_09G056400.m2	11441580
SoyZH13_09G066600	SoyZH13_09G066600.m1	FIP1
SoyZH13_09G069101	SoyZH13_09G069101.m1	KAS2
SoyZH13_09G075100	SoyZH13_09G075100.m1	11421894
SoyZH13_09G075100	SoyZH13_09G075100.m2	11421894
SoyZH13_09G075100	SoyZH13_09G075100.m3	11421894
SoyZH13_09G075100	SoyZH13_09G075100.m4	11421894
SoyZH13_09G115800	SoyZH13_09G115800.m1	11440642
SoyZH13_09G115800	SoyZH13_09G115800.m2	11440642
SoyZH13_09G115800	SoyZH13_09G115800.m3	11440642
SoyZH13_09G115800	SoyZH13_09G115800.m4	11440642
SoyZH13_09G122100	SoyZH13_09G122100.m1	100775387
SoyZH13_09G122900	SoyZH13_09G122900.m1	100810148
SoyZH13_09G122900	SoyZH13_09G122900.m2	100810148
SoyZH13_09G122900	SoyZH13_09G122900.m3	100810148
SoyZH13_09G122900	SoyZH13_09G122900.m4	100810148
SoyZH13_09G122900	SoyZH13_09G122900.m5	100810148
SoyZH13_09G122900	SoyZH13_09G122900.m6	100810148
SoyZH13_09G142000	SoyZH13_09G142000.m1	EIF6
SoyZH13_09G142301	SoyZH13_09G142301.m1	BBI
SoyZH13_09G142600	SoyZH13_09G142600.m1	BBI
SoyZH13_09G142601	SoyZH13_09G142601.m1	BBI
SoyZH13_09G142601	SoyZH13_09G142601.m2	BBI
SoyZH13_09G159300	SoyZH13_09G159300.m1	11445209
SoyZH13_09G159300	SoyZH13_09G159300.m2	11445209
SoyZH13_09G159300	SoyZH13_09G159300.m3	11445209
SoyZH13_09G159300	SoyZH13_09G159300.m4	11445209
SoyZH13_09G159300	SoyZH13_09G159300.m5	11445209
SoyZH13_09G159300	SoyZH13_09G159300.m6	11445209
SoyZH13_09G159300	SoyZH13_09G159300.m7	11445209
SoyZH13_09G174400	SoyZH13_09G174400.m1	EFTS
SoyZH13_09G174400	SoyZH13_09G174400.m2	EFTS
SoyZH13_09G176100	SoyZH13_09G176100.m5	LOC115736380
SoyZH13_09G176900	SoyZH13_09G176900.m1	11406295
SoyZH13_09G179100	SoyZH13_09G179100.m1	STXBP5
SoyZH13_09G179100	SoyZH13_09G179100.m2	STXBP5
SoyZH13_09G179100	SoyZH13_09G179100.m3	STXBP5
SoyZH13_09G179100	SoyZH13_09G179100.m4	STXBP5
SoyZH13_09G179100	SoyZH13_09G179100.m5	STXBP5
SoyZH13_09G179100	SoyZH13_09G179100.m6	STXBP5
SoyZH13_09G179100	SoyZH13_09G179100.m7	STXBP5
SoyZH13_09G188700	SoyZH13_09G188700.m1	11433983
SoyZH13_09G188700	SoyZH13_09G188700.m2	11433983
SoyZH13_09G201000	SoyZH13_09G201000.m1	LOC108463932
SoyZH13_09G201000	SoyZH13_09G201000.m2	LOC108463932
SoyZH13_09G201000	SoyZH13_09G201000.m3	LOC108463932
SoyZH13_09G201000	SoyZH13_09G201000.m4	LOC108463932
SoyZH13_09G205100	SoyZH13_09G205100.m1	LOC113864751
SoyZH13_09G205700	SoyZH13_09G205700.m1	LOC107824534
SoyZH13_09G219400	SoyZH13_09G219400.m2	100806059
SoyZH13_09G227901	SoyZH13_09G227901.m1	25484599
SoyZH13_09G228700	SoyZH13_09G228700.m1	11411223
SoyZH13_09G228700	SoyZH13_09G228700.m2	11411223
SoyZH13_09G235800	SoyZH13_09G235800.m1	TI
SoyZH13_09G254100	SoyZH13_09G254100.m1	11407566
SoyZH13_09G255400	SoyZH13_09G255400.m1	25482727
SoyZH13_09G255400	SoyZH13_09G255400.m2	25482727
SoyZH13_10G005600	SoyZH13_10G005600.m1	CYN
SoyZH13_10G011300	SoyZH13_10G011300.m1	25484746
SoyZH13_10G011300	SoyZH13_10G011300.m2	25484746
SoyZH13_10G011300	SoyZH13_10G011300.m3	25484746
SoyZH13_10G019000	SoyZH13_10G019000.m1	LSM4
SoyZH13_10G025400	SoyZH13_10G025400.m1	100787886
SoyZH13_10G042000	SoyZH13_10G042000.m1	100793717
SoyZH13_10G042000	SoyZH13_10G042000.m4	100793717
SoyZH13_10G042000	SoyZH13_10G042000.m6	100793717
SoyZH13_10G042000	SoyZH13_10G042000.m7	100793717
SoyZH13_10G043500	SoyZH13_10G043500.m3	100792190
SoyZH13_10G044200	SoyZH13_10G044200.m5	TRM19
SoyZH13_10G044200	SoyZH13_10G044200.m6	TRM19
SoyZH13_10G046700	SoyZH13_10G046700.m1	TOP6A
SoyZH13_10G048300	SoyZH13_10G048300.m1	25484038
SoyZH13_10G048300	SoyZH13_10G048300.m2	25484038
SoyZH13_10G048300	SoyZH13_10G048300.m3	25484038
SoyZH13_10G048300	SoyZH13_10G048300.m4	25484038
SoyZH13_10G048300	SoyZH13_10G048300.m5	25484038
SoyZH13_10G048300	SoyZH13_10G048300.m6	25484038
SoyZH13_10G048300	SoyZH13_10G048300.m7	25484038
SoyZH13_10G049800	SoyZH13_10G049800.m2	100811800
SoyZH13_10G049800	SoyZH13_10G049800.m3	100811800
SoyZH13_10G049800	SoyZH13_10G049800.m4	100811800
SoyZH13_10G051600	SoyZH13_10G051600.m1	11435387
SoyZH13_10G057000	SoyZH13_10G057000.m1	25483927
SoyZH13_10G065200	SoyZH13_10G065200.m2	ANGULATA
SoyZH13_10G068600	SoyZH13_10G068600.m1	LOC107493968
SoyZH13_10G071900	SoyZH13_10G071900.m1	100775395
SoyZH13_10G074400	SoyZH13_10G074400.m1	RPL2
SoyZH13_10G095000	SoyZH13_10G095000.m1	100797756
SoyZH13_10G095000	SoyZH13_10G095000.m2	100797756
SoyZH13_10G095000	SoyZH13_10G095000.m3	100797756
SoyZH13_10G095000	SoyZH13_10G095000.m4	100797756
SoyZH13_10G095600	SoyZH13_10G095600.m2	100783262
SoyZH13_10G107304	SoyZH13_10G107304.m1	LOC107765208
SoyZH13_10G111500	SoyZH13_10G111500.m1	LSM3
SoyZH13_10G129300	SoyZH13_10G129300.m1	FEN1
SoyZH13_10G129300	SoyZH13_10G129300.m2	FEN1
SoyZH13_10G129300	SoyZH13_10G129300.m3	FEN1
SoyZH13_10G129802	SoyZH13_10G129802.m1	1A
SoyZH13_10G140900	SoyZH13_10G140900.m1	LOC113872048
SoyZH13_10G156001	SoyZH13_10G156001.m1	25484599
SoyZH13_10G156001	SoyZH13_10G156001.m2	25484599
SoyZH13_10G157700	SoyZH13_10G157700.m1	100799209
SoyZH13_10G160502	SoyZH13_10G160502.m1	EIF6
SoyZH13_10G161101	SoyZH13_10G161101.m1	IOMT2
SoyZH13_10G166500	SoyZH13_10G166500.m1	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m10	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m11	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m12	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m13	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m2	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m3	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m4	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m5	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m6	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m7	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m8	100783630
SoyZH13_10G166500	SoyZH13_10G166500.m9	100783630
SoyZH13_10G178600	SoyZH13_10G178600.m1	100814462
SoyZH13_10G179100	SoyZH13_10G179100.m1	PFK
SoyZH13_10G179700	SoyZH13_10G179700.m1	100816062
SoyZH13_10G181200	SoyZH13_10G181200.m2	100779871
SoyZH13_10G188500	SoyZH13_10G188500.m1	RPSP
SoyZH13_10G188500	SoyZH13_10G188500.m2	RPSP
SoyZH13_10G197600	SoyZH13_10G197600.m1	GATC
SoyZH13_10G197600	SoyZH13_10G197600.m2	GATC
SoyZH13_10G197600	SoyZH13_10G197600.m3	GATC
SoyZH13_10G197600	SoyZH13_10G197600.m4	GATC
SoyZH13_10G198500	SoyZH13_10G198500.m1	100809992
SoyZH13_10G198500	SoyZH13_10G198500.m2	100809992
SoyZH13_10G198500	SoyZH13_10G198500.m3	100809992
SoyZH13_10G199100	SoyZH13_10G199100.m1	25484964
SoyZH13_10G209300	SoyZH13_10G209300.m1	100796913
SoyZH13_10G209400	SoyZH13_10G209400.m1	100796913
SoyZH13_10G209400	SoyZH13_10G209400.m2	100796913
SoyZH13_10G216100	SoyZH13_10G216100.m2	11421138
SoyZH13_10G229800	SoyZH13_10G229800.m8	LOX3A
SoyZH13_10G232400	SoyZH13_10G232400.m1	THI1
SoyZH13_10G236600	SoyZH13_10G236600.m1	AT1G50000
SoyZH13_10G237500	SoyZH13_10G237500.m1	LOC107467436
SoyZH13_10G239700	SoyZH13_10G239700.m1	LOC113870919
SoyZH13_10G239700	SoyZH13_10G239700.m2	LOC113870919
SoyZH13_10G239700	SoyZH13_10G239700.m3	LOC113870919
SoyZH13_10G239700	SoyZH13_10G239700.m4	LOC113870919
SoyZH13_10G241100	SoyZH13_10G241100.m1	25485370
SoyZH13_10G257900	SoyZH13_10G257900.m1	LIP1P
SoyZH13_11G002100	SoyZH13_11G002100.m1	100819578
SoyZH13_11G002100	SoyZH13_11G002100.m3	100819578
SoyZH13_11G002900	SoyZH13_11G002900.m1	25485253
SoyZH13_11G026600	SoyZH13_11G026600.m1	CCS52
SoyZH13_11G037100	SoyZH13_11G037100.m1	RPLS
SoyZH13_11G051100	SoyZH13_11G051100.m2	11410589
SoyZH13_11G083800	SoyZH13_11G083800.m1	STXBP5
SoyZH13_11G083800	SoyZH13_11G083800.m2	STXBP5
SoyZH13_11G083800	SoyZH13_11G083800.m3	STXBP5
SoyZH13_11G084200	SoyZH13_11G084200.m1	LOC116196551
SoyZH13_11G098500	SoyZH13_11G098500.m1	GH9C1
SoyZH13_11G101900	SoyZH13_11G101900.m1	25482727
SoyZH13_11G101900	SoyZH13_11G101900.m2	25482727
SoyZH13_11G101900	SoyZH13_11G101900.m3	25482727
SoyZH13_11G101900	SoyZH13_11G101900.m4	25482727
SoyZH13_11G101900	SoyZH13_11G101900.m5	25482727
SoyZH13_11G101900	SoyZH13_11G101900.m6	25482727
SoyZH13_11G101900	SoyZH13_11G101900.m7	25482727
SoyZH13_11G107700	SoyZH13_11G107700.m1	LOC113864305
SoyZH13_11G107700	SoyZH13_11G107700.m2	LOC113864305
SoyZH13_11G107700	SoyZH13_11G107700.m3	LOC113864305
SoyZH13_11G107700	SoyZH13_11G107700.m4	LOC113864305
SoyZH13_11G107700	SoyZH13_11G107700.m5	LOC113864305
SoyZH13_11G107700	SoyZH13_11G107700.m6	LOC113864305
SoyZH13_11G107700	SoyZH13_11G107700.m7	LOC113864305
SoyZH13_11G107700	SoyZH13_11G107700.m8	LOC113864305
SoyZH13_11G110900	SoyZH13_11G110900.m1	11442766
SoyZH13_11G110900	SoyZH13_11G110900.m2	11442766
SoyZH13_11G114000	SoyZH13_11G114000.m1	100805232
SoyZH13_11G114800	SoyZH13_11G114800.m3	11410253
SoyZH13_11G122500	SoyZH13_11G122500.m1	LOC113865991
SoyZH13_11G122800	SoyZH13_11G122800.m1	BZIP
SoyZH13_11G124501	SoyZH13_11G124501.m1	NTH1
SoyZH13_11G133800	SoyZH13_11G133800.m1	SCR1
SoyZH13_11G138401	SoyZH13_11G138401.m1	ATP6
SoyZH13_11G162800	SoyZH13_11G162800.m1	AGO5
SoyZH13_11G162800	SoyZH13_11G162800.m2	AGO5
SoyZH13_11G177900	SoyZH13_11G177900.m2	PSAH2
SoyZH13_11G186700	SoyZH13_11G186700.m1	LOC111303502
SoyZH13_11G188000	SoyZH13_11G188000.m1	102667304
SoyZH13_11G200700	SoyZH13_11G200700.m1	100817322
SoyZH13_11G200700	SoyZH13_11G200700.m2	100817322
SoyZH13_11G202800	SoyZH13_11G202800.m1	102669261
SoyZH13_11G205300	SoyZH13_11G205300.m3	11408266
SoyZH13_11G205400	SoyZH13_11G205400.m1	11406721
SoyZH13_11G214900	SoyZH13_11G214900.m1	LOC113850062
SoyZH13_11G221702	SoyZH13_11G221702.m1	11406310
SoyZH13_11G226900	SoyZH13_11G226900.m1	CHX15
SoyZH13_11G231600	SoyZH13_11G231600.m1	BCCP
SoyZH13_11G231600	SoyZH13_11G231600.m2	BCCP
SoyZH13_11G236600	SoyZH13_11G236600.m1	EIN3
SoyZH13_11G238900	SoyZH13_11G238900.m1	AT5G10320
SoyZH13_11G244000	SoyZH13_11G244000.m1	11439058
SoyZH13_11G244000	SoyZH13_11G244000.m2	11439058
SoyZH13_11G251700	SoyZH13_11G251700.m1	SAHHA
SoyZH13_12G000900	SoyZH13_12G000900.m5	100799920
SoyZH13_12G000900	SoyZH13_12G000900.m6	100799920
SoyZH13_12G000900	SoyZH13_12G000900.m7	100799920
SoyZH13_12G000900	SoyZH13_12G000900.m8	100799920
SoyZH13_12G009600	SoyZH13_12G009600.m1	LOC113864751
SoyZH13_12G009600	SoyZH13_12G009600.m2	LOC113864751
SoyZH13_12G026200	SoyZH13_12G026200.m1	GH9C1
SoyZH13_12G028800	SoyZH13_12G028800.m1	25482727
SoyZH13_12G028800	SoyZH13_12G028800.m2	25482727
SoyZH13_12G028800	SoyZH13_12G028800.m3	25482727
SoyZH13_12G028800	SoyZH13_12G028800.m4	25482727
SoyZH13_12G028800	SoyZH13_12G028800.m5	25482727
SoyZH13_12G028800	SoyZH13_12G028800.m6	25482727
SoyZH13_12G028800	SoyZH13_12G028800.m7	25482727
SoyZH13_12G028800	SoyZH13_12G028800.m8	25482727
SoyZH13_12G034100	SoyZH13_12G034100.m1	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m10	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m11	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m12	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m13	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m14	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m2	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m3	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m4	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m5	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m6	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m7	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m8	LOC113864305
SoyZH13_12G034100	SoyZH13_12G034100.m9	LOC113864305
SoyZH13_12G040100	SoyZH13_12G040100.m1	LOC101505372
SoyZH13_12G045300	SoyZH13_12G045300.m1	100810594
SoyZH13_12G045300	SoyZH13_12G045300.m2	100810594
SoyZH13_12G045300	SoyZH13_12G045300.m3	100810594
SoyZH13_12G046702	SoyZH13_12G046702.m1	25487912
SoyZH13_12G047300	SoyZH13_12G047300.m1	LOC113865991
SoyZH13_12G047600	SoyZH13_12G047600.m1	BZIP
SoyZH13_12G051900	SoyZH13_12G051900.m1	ATPE
SoyZH13_12G056600	SoyZH13_12G056600.m4	LOC107476830
SoyZH13_12G056801	SoyZH13_12G056801.m1	RBCL
SoyZH13_12G060400	SoyZH13_12G060400.m1	RAB8A
SoyZH13_12G060800	SoyZH13_12G060800.m1	TIP1-1
SoyZH13_12G065800	SoyZH13_12G065800.m1	100785642
SoyZH13_12G073401	SoyZH13_12G073401.m1	SCPL49
SoyZH13_12G076400	SoyZH13_12G076400.m1	AGO5
SoyZH13_12G082900	SoyZH13_12G082900.m2	25492281
SoyZH13_12G082900	SoyZH13_12G082900.m3	25492281
SoyZH13_12G093200	SoyZH13_12G093200.m1	TPSB
SoyZH13_12G100001	SoyZH13_12G100001.m1	GLN2
SoyZH13_12G106300	SoyZH13_12G106300.m1	25492910
SoyZH13_12G120800	SoyZH13_12G120800.m1	THI1
SoyZH13_12G127600	SoyZH13_12G127600.m3	GSSRK
SoyZH13_12G127600	SoyZH13_12G127600.m5	GSSRK
SoyZH13_12G136903	SoyZH13_12G136903.m1	COX3
SoyZH13_12G145300	SoyZH13_12G145300.m1	PSKR2
SoyZH13_12G146800	SoyZH13_12G146800.m1	11445574
SoyZH13_12G146800	SoyZH13_12G146800.m2	11445574
SoyZH13_12G146800	SoyZH13_12G146800.m3	11445574
SoyZH13_12G146800	SoyZH13_12G146800.m4	11445574
SoyZH13_12G147000	SoyZH13_12G147000.m1	11425117
SoyZH13_12G147000	SoyZH13_12G147000.m2	11425117
SoyZH13_12G147000	SoyZH13_12G147000.m3	11425117
SoyZH13_12G156400	SoyZH13_12G156400.m1	100781893
