Gene	mRNA	KEGG
SoyZH13_05G066800	SoyZH13_05G066800.m3	KEGG:R03876
SoyZH13_05G067100	SoyZH13_05G067100.m1	KEGG:R00630
SoyZH13_05G067400	SoyZH13_05G067400.m1	KEGG:R00630
SoyZH13_05G068600	SoyZH13_05G068600.m1	KEGG:R04404
SoyZH13_05G068600	SoyZH13_05G068600.m2	KEGG:R04404
SoyZH13_05G068600	SoyZH13_05G068600.m3	KEGG:R03394;KEGG:R03430;KEGG:R04404
SoyZH13_05G068700	SoyZH13_05G068700.m1	KEGG:R01049
SoyZH13_05G072200	SoyZH13_05G072200.m1	KEGG:R00479
SoyZH13_05G073000	SoyZH13_05G073000.m1	KEGG:R01616
SoyZH13_05G073000	SoyZH13_05G073000.m2	KEGG:R01616
SoyZH13_05G074901	SoyZH13_05G074901.m1	KEGG:R03532
SoyZH13_05G075500	SoyZH13_05G075500.m1	KEGG:R00533
SoyZH13_05G075500	SoyZH13_05G075500.m2	KEGG:R00533
SoyZH13_05G075500	SoyZH13_05G075500.m3	KEGG:R00533
SoyZH13_05G075500	SoyZH13_05G075500.m4	KEGG:R00533
SoyZH13_05G080300	SoyZH13_05G080300.m1	KEGG:R00946;KEGG:R04405
SoyZH13_05G080300	SoyZH13_05G080300.m2	KEGG:R00946;KEGG:R04405
SoyZH13_05G080800	SoyZH13_05G080800.m1	KEGG:R02978
SoyZH13_05G081300	SoyZH13_05G081300.m1	KEGG:R00582
SoyZH13_05G081503	SoyZH13_05G081503.m1	KEGG:R03532
SoyZH13_05G083501	SoyZH13_05G083501.m1	KEGG:R00630;KEGG:R05825
SoyZH13_05G085109	SoyZH13_05G085109.m1	KEGG:R00834;KEGG:R02820
SoyZH13_05G087400	SoyZH13_05G087400.m1	KEGG:R01724;KEGG:R03348
SoyZH13_05G087400	SoyZH13_05G087400.m2	KEGG:R01724;KEGG:R03348
SoyZH13_05G092700	SoyZH13_05G092700.m1	KEGG:R07267;KEGG:R09251
SoyZH13_05G092700	SoyZH13_05G092700.m2	KEGG:R07267;KEGG:R09251
SoyZH13_05G092700	SoyZH13_05G092700.m3	KEGG:R07267;KEGG:R09251
SoyZH13_05G092700	SoyZH13_05G092700.m4	KEGG:R07267;KEGG:R09251
SoyZH13_05G092700	SoyZH13_05G092700.m5	KEGG:R07267;KEGG:R09251
SoyZH13_05G095700	SoyZH13_05G095700.m1	KEGG:R03532
SoyZH13_05G095800	SoyZH13_05G095800.m1	KEGG:R03532
SoyZH13_05G095800	SoyZH13_05G095800.m2	KEGG:R03532
SoyZH13_05G095800	SoyZH13_05G095800.m3	KEGG:R03532
SoyZH13_05G096300	SoyZH13_05G096300.m1	KEGG:R03219
SoyZH13_05G096300	SoyZH13_05G096300.m4	KEGG:R03219
SoyZH13_05G096300	SoyZH13_05G096300.m6	KEGG:R03219
SoyZH13_05G096303	SoyZH13_05G096303.m1	KEGG:R05982
SoyZH13_05G098102	SoyZH13_05G098102.m1	KEGG:R00259
SoyZH13_05G099000	SoyZH13_05G099000.m1	KEGG:R03876
SoyZH13_05G100400	SoyZH13_05G100400.m1	KEGG:R00179
SoyZH13_05G101002	SoyZH13_05G101002.m1	KEGG:R00630
SoyZH13_05G105100	SoyZH13_05G105100.m1	KEGG:R00842
SoyZH13_05G106302	SoyZH13_05G106302.m1	KEGG:R00630
SoyZH13_05G106500	SoyZH13_05G106500.m1	KEGG:R09656;KEGG:R09658
SoyZH13_05G106503	SoyZH13_05G106503.m1	KEGG:R06307
SoyZH13_05G111801	SoyZH13_05G111801.m1	KEGG:R05769
SoyZH13_05G114700	SoyZH13_05G114700.m1	KEGG:R03831
SoyZH13_05G115100	SoyZH13_05G115100.m1	KEGG:R03831
SoyZH13_05G117500	SoyZH13_05G117500.m2	KEGG:R02282
SoyZH13_05G120400	SoyZH13_05G120400.m1	KEGG:R01397
SoyZH13_05G120400	SoyZH13_05G120400.m2	KEGG:R01397
SoyZH13_05G120400	SoyZH13_05G120400.m3	KEGG:R01397
SoyZH13_05G121000	SoyZH13_05G121000.m1	KEGG:R00416
SoyZH13_05G122100	SoyZH13_05G122100.m1	KEGG:R03876
SoyZH13_05G122100	SoyZH13_05G122100.m2	KEGG:R03876
SoyZH13_05G122200	SoyZH13_05G122200.m1	KEGG:R07232
SoyZH13_05G122200	SoyZH13_05G122200.m2	KEGG:R07232
SoyZH13_05G122500	SoyZH13_05G122500.m1	KEGG:R03532
SoyZH13_05G123100	SoyZH13_05G123100.m1	KEGG:R03876
SoyZH13_05G127302	SoyZH13_05G127302.m1	KEGG:R04404
SoyZH13_05G127302	SoyZH13_05G127302.m2	KEGG:R04404
SoyZH13_05G129400	SoyZH13_05G129400.m1	KEGG:R03876
SoyZH13_05G129400	SoyZH13_05G129400.m2	KEGG:R03876
SoyZH13_05G129900	SoyZH13_05G129900.m1	KEGG:R03876
SoyZH13_05G133800	SoyZH13_05G133800.m1	KEGG:R03876
SoyZH13_05G135900	SoyZH13_05G135900.m1	KEGG:R03876
SoyZH13_05G135900	SoyZH13_05G135900.m2	KEGG:R03876
SoyZH13_05G135900	SoyZH13_05G135900.m3	KEGG:R03876
SoyZH13_05G135900	SoyZH13_05G135900.m4	KEGG:R03876
SoyZH13_05G135900	SoyZH13_05G135900.m5	KEGG:R03876
SoyZH13_05G135900	SoyZH13_05G135900.m6	KEGG:R03876
SoyZH13_05G136600	SoyZH13_05G136600.m1	KEGG:R06816
SoyZH13_05G137400	SoyZH13_05G137400.m1	KEGG:R03876
SoyZH13_05G137400	SoyZH13_05G137400.m2	KEGG:R03876
SoyZH13_05G137400	SoyZH13_05G137400.m3	KEGG:R03876
SoyZH13_05G137400	SoyZH13_05G137400.m4	KEGG:R03876
SoyZH13_05G137400	SoyZH13_05G137400.m5	KEGG:R03876
SoyZH13_05G140900	SoyZH13_05G140900.m1	KEGG:R00480
SoyZH13_05G140900	SoyZH13_05G140900.m2	KEGG:R00480
SoyZH13_05G140900	SoyZH13_05G140900.m3	KEGG:R00480
SoyZH13_05G141000	SoyZH13_05G141000.m1	KEGG:R01616;KEGG:R07325
SoyZH13_05G141000	SoyZH13_05G141000.m2	KEGG:R01616;KEGG:R07325
SoyZH13_05G141000	SoyZH13_05G141000.m3	KEGG:R01616;KEGG:R07325
SoyZH13_05G141000	SoyZH13_05G141000.m4	KEGG:R01616;KEGG:R07325
SoyZH13_05G141400	SoyZH13_05G141400.m1	KEGG:R00004
SoyZH13_05G142300	SoyZH13_05G142300.m1	KEGG:R01385
SoyZH13_05G143800	SoyZH13_05G143800.m1	KEGG:R03362
SoyZH13_05G146300	SoyZH13_05G146300.m1	KEGG:R00630
SoyZH13_05G146300	SoyZH13_05G146300.m2	KEGG:R00630
SoyZH13_05G146300	SoyZH13_05G146300.m3	KEGG:R00630
SoyZH13_05G146600	SoyZH13_05G146600.m1	KEGG:R00162
SoyZH13_05G146600	SoyZH13_05G146600.m2	KEGG:R00162
SoyZH13_05G146600	SoyZH13_05G146600.m3	KEGG:R00162
SoyZH13_05G146600	SoyZH13_05G146600.m4	KEGG:R00162
SoyZH13_05G146600	SoyZH13_05G146600.m5	KEGG:R00162
SoyZH13_05G146901	SoyZH13_05G146901.m1	KEGG:R01616
SoyZH13_05G146901	SoyZH13_05G146901.m2	KEGG:R01616
SoyZH13_05G146901	SoyZH13_05G146901.m3	KEGG:R01616
SoyZH13_05G146901	SoyZH13_05G146901.m4	KEGG:R01616
SoyZH13_05G146901	SoyZH13_05G146901.m5	KEGG:R01616
SoyZH13_05G151300	SoyZH13_05G151300.m1	KEGG:R03876
SoyZH13_05G152500	SoyZH13_05G152500.m1	KEGG:R00630;KEGG:R09656;KEGG:R09658
SoyZH13_05G152700	SoyZH13_05G152700.m1	KEGG:R02016
SoyZH13_05G158500	SoyZH13_05G158500.m1	KEGG:R03469
SoyZH13_05G158500	SoyZH13_05G158500.m2	KEGG:R03469
SoyZH13_05G158500	SoyZH13_05G158500.m3	KEGG:R03469
SoyZH13_05G158500	SoyZH13_05G158500.m4	KEGG:R03469
SoyZH13_05G158500	SoyZH13_05G158500.m5	KEGG:R03469
SoyZH13_05G158500	SoyZH13_05G158500.m6	KEGG:R03469
SoyZH13_05G158500	SoyZH13_05G158500.m7	KEGG:R03469
SoyZH13_05G158500	SoyZH13_05G158500.m8	KEGG:R03469
SoyZH13_05G159200	SoyZH13_05G159200.m1	KEGG:R01473
SoyZH13_05G162700	SoyZH13_05G162700.m1	KEGG:R01103
SoyZH13_05G162700	SoyZH13_05G162700.m2	KEGG:R01103
SoyZH13_05G164100	SoyZH13_05G164100.m1	KEGG:R00425;KEGG:R07281
SoyZH13_05G164100	SoyZH13_05G164100.m2	KEGG:R00425;KEGG:R07281
SoyZH13_05G164100	SoyZH13_05G164100.m3	KEGG:R00425;KEGG:R07281
SoyZH13_05G164100	SoyZH13_05G164100.m4	KEGG:R00425;KEGG:R07281
SoyZH13_05G164100	SoyZH13_05G164100.m5	KEGG:R00425;KEGG:R07281
SoyZH13_05G168800	SoyZH13_05G168800.m1	KEGG:R07324
SoyZH13_05G168800	SoyZH13_05G168800.m2	KEGG:R07324
SoyZH13_05G169200	SoyZH13_05G169200.m1	KEGG:R00355;KEGG:R07276
SoyZH13_05G169200	SoyZH13_05G169200.m2	KEGG:R00355;KEGG:R07276
SoyZH13_05G171600	SoyZH13_05G171600.m1	KEGG:R02412
SoyZH13_05G171600	SoyZH13_05G171600.m2	KEGG:R02412
SoyZH13_05G171600	SoyZH13_05G171600.m3	KEGG:R02412
SoyZH13_05G171600	SoyZH13_05G171600.m4	KEGG:R02412
SoyZH13_05G171700	SoyZH13_05G171700.m1	KEGG:R00630
SoyZH13_05G171700	SoyZH13_05G171700.m2	KEGG:R00630
SoyZH13_05G172701	SoyZH13_05G172701.m1	KEGG:R03877
SoyZH13_05G172701	SoyZH13_05G172701.m2	KEGG:R03877
SoyZH13_05G172701	SoyZH13_05G172701.m3	KEGG:R03877
SoyZH13_05G172701	SoyZH13_05G172701.m4	KEGG:R03877
SoyZH13_05G172701	SoyZH13_05G172701.m5	KEGG:R03877
SoyZH13_05G173400	SoyZH13_05G173400.m1	KEGG:R00802
SoyZH13_05G173400	SoyZH13_05G173400.m2	KEGG:R00802
SoyZH13_05G173400	SoyZH13_05G173400.m3	KEGG:R00802
SoyZH13_05G175300	SoyZH13_05G175300.m1	KEGG:R07135
SoyZH13_05G177800	SoyZH13_05G177800.m1	KEGG:R00630
SoyZH13_05G177900	SoyZH13_05G177900.m1	KEGG:R00630
SoyZH13_05G178700	SoyZH13_05G178700.m1	KEGG:R03361
SoyZH13_05G179800	SoyZH13_05G179800.m1	KEGG:R03876
SoyZH13_05G180600	SoyZH13_05G180600.m1	KEGG:R04144;KEGG:R04208
SoyZH13_05G183200	SoyZH13_05G183200.m1	KEGG:R00104
SoyZH13_05G183200	SoyZH13_05G183200.m2	KEGG:R00104
SoyZH13_05G183200	SoyZH13_05G183200.m3	KEGG:R00104
SoyZH13_05G183200	SoyZH13_05G183200.m4	KEGG:R00104
SoyZH13_05G183200	SoyZH13_05G183200.m5	KEGG:R00104
SoyZH13_05G183200	SoyZH13_05G183200.m6	KEGG:R00104
SoyZH13_05G184200	SoyZH13_05G184200.m1	KEGG:R03469
SoyZH13_05G184600	SoyZH13_05G184600.m1	KEGG:R00310
SoyZH13_05G184600	SoyZH13_05G184600.m2	KEGG:R00310
SoyZH13_05G185000	SoyZH13_05G185000.m1	KEGG:R03876
SoyZH13_05G185000	SoyZH13_05G185000.m2	KEGG:R03876
SoyZH13_05G185000	SoyZH13_05G185000.m3	KEGG:R03876
SoyZH13_05G185600	SoyZH13_05G185600.m1	KEGG:R03532
SoyZH13_05G187400	SoyZH13_05G187400.m1	KEGG:R04237
SoyZH13_05G187400	SoyZH13_05G187400.m2	KEGG:R04237
SoyZH13_05G188400	SoyZH13_05G188400.m1	KEGG:R09382
SoyZH13_05G188400	SoyZH13_05G188400.m2	KEGG:R09382
SoyZH13_05G191100	SoyZH13_05G191100.m1	KEGG:R01473
SoyZH13_05G191100	SoyZH13_05G191100.m2	KEGG:R01473
SoyZH13_05G191300	SoyZH13_05G191300.m1	KEGG:R01015
SoyZH13_05G192900	SoyZH13_05G192900.m1	KEGG:R01467
SoyZH13_05G193300	SoyZH13_05G193300.m1	KEGG:R03532
SoyZH13_05G193400	SoyZH13_05G193400.m1	KEGG:R03532
SoyZH13_05G193800	SoyZH13_05G193800.m1	KEGG:R00894
SoyZH13_05G193800	SoyZH13_05G193800.m2	KEGG:R00894
SoyZH13_05G193900	SoyZH13_05G193900.m1	KEGG:R00549;KEGG:R00804;KEGG:R02728
SoyZH13_05G193900	SoyZH13_05G193900.m2	KEGG:R00549;KEGG:R00804;KEGG:R02728
SoyZH13_05G195600	SoyZH13_05G195600.m1	KEGG:R03876
SoyZH13_05G195600	SoyZH13_05G195600.m2	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m1	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m10	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m2	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m3	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m4	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m5	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m6	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m7	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m8	KEGG:R03876
SoyZH13_05G195800	SoyZH13_05G195800.m9	KEGG:R03876
SoyZH13_05G196200	SoyZH13_05G196200.m1	KEGG:R03876
SoyZH13_05G197600	SoyZH13_05G197600.m1	KEGG:R00179
SoyZH13_05G198600	SoyZH13_05G198600.m1	KEGG:R03532
SoyZH13_05G202500	SoyZH13_05G202500.m1	KEGG:R01616;KEGG:R01802
SoyZH13_05G203600	SoyZH13_05G203600.m1	KEGG:R03361
SoyZH13_05G203800	SoyZH13_05G203800.m1	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m10	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m11	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m2	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m3	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m4	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m5	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m6	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m7	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m8	KEGG:R03876
SoyZH13_05G203800	SoyZH13_05G203800.m9	KEGG:R03876
SoyZH13_05G204700	SoyZH13_05G204700.m1	KEGG:R03876
SoyZH13_05G208100	SoyZH13_05G208100.m1	KEGG:R01092;KEGG:R01980
SoyZH13_05G208100	SoyZH13_05G208100.m2	KEGG:R01092;KEGG:R01980
SoyZH13_05G208400	SoyZH13_05G208400.m1	KEGG:R07214
SoyZH13_05G209000	SoyZH13_05G209000.m1	KEGG:R00179
SoyZH13_05G210000	SoyZH13_05G210000.m1	KEGG:R03648
SoyZH13_05G210400	SoyZH13_05G210400.m1	KEGG:R01184
SoyZH13_05G210900	SoyZH13_05G210900.m1	KEGG:R04404
SoyZH13_05G211900	SoyZH13_05G211900.m1	KEGG:R00630
SoyZH13_05G213100	SoyZH13_05G213100.m1	KEGG:R00214;KEGG:R00216
SoyZH13_05G213100	SoyZH13_05G213100.m2	KEGG:R00214;KEGG:R00216
SoyZH13_05G213100	SoyZH13_05G213100.m3	KEGG:R00214;KEGG:R00216
SoyZH13_05G213100	SoyZH13_05G213100.m4	KEGG:R00214;KEGG:R00216
SoyZH13_05G214200	SoyZH13_05G214200.m1	KEGG:R02530
SoyZH13_05G214200	SoyZH13_05G214200.m2	KEGG:R02530
SoyZH13_05G215100	SoyZH13_05G215100.m1	KEGG:R03876
SoyZH13_05G218101	SoyZH13_05G218101.m1	KEGG:R00630
SoyZH13_05G218101	SoyZH13_05G218101.m2	KEGG:R00630
SoyZH13_05G218101	SoyZH13_05G218101.m4	KEGG:R00630
SoyZH13_05G218105	SoyZH13_05G218105.m1	KEGG:R00630
SoyZH13_05G218105	SoyZH13_05G218105.m2	KEGG:R00630
SoyZH13_05G222200	SoyZH13_05G222200.m1	KEGG:R00630
SoyZH13_05G222300	SoyZH13_05G222300.m1	KEGG:R00630
SoyZH13_05G222900	SoyZH13_05G222900.m1	KEGG:R03876
SoyZH13_05G222900	SoyZH13_05G222900.m2	KEGG:R03876
SoyZH13_05G225300	SoyZH13_05G225300.m1	KEGG:R03532
SoyZH13_05G225900	SoyZH13_05G225900.m1	KEGG:R02291
SoyZH13_05G225900	SoyZH13_05G225900.m2	KEGG:R02291
SoyZH13_05G227200	SoyZH13_05G227200.m1	KEGG:R03876
SoyZH13_05G229700	SoyZH13_05G229700.m1	KEGG:R00162
SoyZH13_05G229700	SoyZH13_05G229700.m2	KEGG:R00162
SoyZH13_05G231400	SoyZH13_05G231400.m1	KEGG:R02037;KEGG:R06868
SoyZH13_05G231400	SoyZH13_05G231400.m2	KEGG:R02037;KEGG:R06868
SoyZH13_05G231500	SoyZH13_05G231500.m2	KEGG:R06868
SoyZH13_05G233100	SoyZH13_05G233100.m1	KEGG:R00630
SoyZH13_05G233100	SoyZH13_05G233100.m2	KEGG:R00630
SoyZH13_05G233100	SoyZH13_05G233100.m3	KEGG:R00630
SoyZH13_05G233100	SoyZH13_05G233100.m4	KEGG:R00630
SoyZH13_06G000301	SoyZH13_06G000301.m1	KEGG:R05983
SoyZH13_06G000301	SoyZH13_06G000301.m2	KEGG:R05983
SoyZH13_06G001400	SoyZH13_06G001400.m1	KEGG:R00630
SoyZH13_06G002200	SoyZH13_06G002200.m1	KEGG:R00289
SoyZH13_06G002200	SoyZH13_06G002200.m2	KEGG:R00289
SoyZH13_06G002200	SoyZH13_06G002200.m3	KEGG:R00289
SoyZH13_06G002200	SoyZH13_06G002200.m4	KEGG:R00289
SoyZH13_06G003100	SoyZH13_06G003100.m1	KEGG:R02272
SoyZH13_06G003800	SoyZH13_06G003800.m1	KEGG:R03876
SoyZH13_06G003900	SoyZH13_06G003900.m1	KEGG:R03876
SoyZH13_06G003900	SoyZH13_06G003900.m2	KEGG:R03876
SoyZH13_06G005500	SoyZH13_06G005500.m1	KEGG:R00802
SoyZH13_06G005500	SoyZH13_06G005500.m2	KEGG:R00802
SoyZH13_06G006800	SoyZH13_06G006800.m1	KEGG:R00566
SoyZH13_06G006800	SoyZH13_06G006800.m2	KEGG:R00566
SoyZH13_06G006800	SoyZH13_06G006800.m3	KEGG:R00566
SoyZH13_06G006800	SoyZH13_06G006800.m4	KEGG:R00566
SoyZH13_06G006800	SoyZH13_06G006800.m5	KEGG:R00566
SoyZH13_06G006800	SoyZH13_06G006800.m6	KEGG:R00566
SoyZH13_06G008800	SoyZH13_06G008800.m1	KEGG:R03013
SoyZH13_06G008800	SoyZH13_06G008800.m2	KEGG:R03013
SoyZH13_06G008800	SoyZH13_06G008800.m3	KEGG:R03013
SoyZH13_06G009600	SoyZH13_06G009600.m1	KEGG:R02101
SoyZH13_06G010700	SoyZH13_06G010700.m1	KEGG:R00948
SoyZH13_06G010700	SoyZH13_06G010700.m2	KEGG:R00948
SoyZH13_06G012600	SoyZH13_06G012600.m1	KEGG:R03361
SoyZH13_06G012600	SoyZH13_06G012600.m2	KEGG:R03361
SoyZH13_06G015300	SoyZH13_06G015300.m1	KEGG:R03876
SoyZH13_06G015600	SoyZH13_06G015600.m1	KEGG:R03401
SoyZH13_06G016600	SoyZH13_06G016600.m1	KEGG:R03532
SoyZH13_06G018900	SoyZH13_06G018900.m1	KEGG:R00670
SoyZH13_06G019600	SoyZH13_06G019600.m1	KEGG:R03219
SoyZH13_06G019600	SoyZH13_06G019600.m2	KEGG:R03219
SoyZH13_06G019600	SoyZH13_06G019600.m3	KEGG:R03219
SoyZH13_06G019600	SoyZH13_06G019600.m4	KEGG:R03219
SoyZH13_06G021200	SoyZH13_06G021200.m1	KEGG:R09656;KEGG:R09658
SoyZH13_06G021400	SoyZH13_06G021400.m1	KEGG:R00630;KEGG:R09656;KEGG:R09658
SoyZH13_06G021400	SoyZH13_06G021400.m2	KEGG:R00630;KEGG:R09656;KEGG:R09658
SoyZH13_06G027000	SoyZH13_06G027000.m1	KEGG:R00804;KEGG:R02732
SoyZH13_06G027900	SoyZH13_06G027900.m1	KEGG:R00162
SoyZH13_06G027900	SoyZH13_06G027900.m2	KEGG:R00162
SoyZH13_06G028300	SoyZH13_06G028300.m1	KEGG:R05202
SoyZH13_06G028300	SoyZH13_06G028300.m2	KEGG:R05202
SoyZH13_06G028300	SoyZH13_06G028300.m3	KEGG:R05202
SoyZH13_06G028300	SoyZH13_06G028300.m4	KEGG:R05202
SoyZH13_06G028300	SoyZH13_06G028300.m5	KEGG:R05202
SoyZH13_06G028300	SoyZH13_06G028300.m6	KEGG:R05202
SoyZH13_06G028300	SoyZH13_06G028300.m7	KEGG:R05202
SoyZH13_06G028300	SoyZH13_06G028300.m8	KEGG:R05202
SoyZH13_06G028600	SoyZH13_06G028600.m1	KEGG:R00948
SoyZH13_06G032800	SoyZH13_06G032800.m1	KEGG:R03876
SoyZH13_06G032800	SoyZH13_06G032800.m2	KEGG:R03876
SoyZH13_06G032800	SoyZH13_06G032800.m3	KEGG:R03876
SoyZH13_06G032800	SoyZH13_06G032800.m4	KEGG:R03876
SoyZH13_06G032800	SoyZH13_06G032800.m5	KEGG:R03876
SoyZH13_06G035500	SoyZH13_06G035500.m1	KEGG:R03165
SoyZH13_06G035500	SoyZH13_06G035500.m2	KEGG:R03165
SoyZH13_06G035900	SoyZH13_06G035900.m1	KEGG:R00630
SoyZH13_06G038600	SoyZH13_06G038600.m1	KEGG:R03876
SoyZH13_06G038600	SoyZH13_06G038600.m2	KEGG:R03876
SoyZH13_06G038600	SoyZH13_06G038600.m3	KEGG:R03876
SoyZH13_06G038600	SoyZH13_06G038600.m4	KEGG:R03876
SoyZH13_06G038600	SoyZH13_06G038600.m5	KEGG:R03876
SoyZH13_06G041100	SoyZH13_06G041100.m1	KEGG:R03876
SoyZH13_06G041100	SoyZH13_06G041100.m2	KEGG:R03876
SoyZH13_06G044500	SoyZH13_06G044500.m1	KEGG:R03876
SoyZH13_06G045100	SoyZH13_06G045100.m1	KEGG:R00162
SoyZH13_06G046000	SoyZH13_06G046000.m1	KEGG:R02874
SoyZH13_06G046300	SoyZH13_06G046300.m1	KEGG:R00179
SoyZH13_06G046300	SoyZH13_06G046300.m2	KEGG:R00179
SoyZH13_06G046500	SoyZH13_06G046500.m1	KEGG:R01090;KEGG:R01214;KEGG:R02199
SoyZH13_06G046500	SoyZH13_06G046500.m2	KEGG:R01090;KEGG:R01214;KEGG:R02199
SoyZH13_06G046500	SoyZH13_06G046500.m3	KEGG:R01090;KEGG:R01214;KEGG:R02199
SoyZH13_06G046500	SoyZH13_06G046500.m4	KEGG:R01090;KEGG:R01214;KEGG:R02199
SoyZH13_06G047500	SoyZH13_06G047500.m1	KEGG:R00310
SoyZH13_06G047500	SoyZH13_06G047500.m2	KEGG:R00310
SoyZH13_06G048800	SoyZH13_06G048800.m1	KEGG:R01108
SoyZH13_06G048800	SoyZH13_06G048800.m2	KEGG:R01108
SoyZH13_06G052801	SoyZH13_06G052801.m1	KEGG:R00630
SoyZH13_06G052801	SoyZH13_06G052801.m2	KEGG:R00630
SoyZH13_06G056400	SoyZH13_06G056400.m1	KEGG:R03532
SoyZH13_06G057900	SoyZH13_06G057900.m1	KEGG:R01715
SoyZH13_06G063700	SoyZH13_06G063700.m1	KEGG:R03532
SoyZH13_06G063700	SoyZH13_06G063700.m2	KEGG:R03532
SoyZH13_06G063700	SoyZH13_06G063700.m3	KEGG:R03532
SoyZH13_06G065200	SoyZH13_06G065200.m1	KEGG:R03532
SoyZH13_06G065200	SoyZH13_06G065200.m2	KEGG:R03532
SoyZH13_06G065500	SoyZH13_06G065500.m1	KEGG:R00630
SoyZH13_06G065500	SoyZH13_06G065500.m2	KEGG:R00630
SoyZH13_06G065500	SoyZH13_06G065500.m3	KEGG:R00630
SoyZH13_06G065500	SoyZH13_06G065500.m4	KEGG:R00630
SoyZH13_06G066700	SoyZH13_06G066700.m1	KEGG:R05636;KEGG:ko00730
SoyZH13_06G069900	SoyZH13_06G069900.m1	KEGG:R03876
SoyZH13_06G069900	SoyZH13_06G069900.m2	KEGG:R03876
SoyZH13_06G069900	SoyZH13_06G069900.m3	KEGG:R03876
SoyZH13_06G069900	SoyZH13_06G069900.m4	KEGG:R03876
SoyZH13_06G069900	SoyZH13_06G069900.m5	KEGG:R03876
SoyZH13_06G070500	SoyZH13_06G070500.m1	KEGG:R00259
SoyZH13_06G072100	SoyZH13_06G072100.m1	KEGG:R03876
SoyZH13_06G072100	SoyZH13_06G072100.m2	KEGG:R03876
SoyZH13_06G077400	SoyZH13_06G077400.m1	KEGG:R00355
SoyZH13_06G077900	SoyZH13_06G077900.m1	KEGG:R03876
SoyZH13_06G077900	SoyZH13_06G077900.m2	KEGG:R03876
SoyZH13_06G077900	SoyZH13_06G077900.m3	KEGG:R03876
SoyZH13_06G081000	SoyZH13_06G081000.m1	KEGG:R03876
SoyZH13_06G081100	SoyZH13_06G081100.m1	KEGG:R00630
SoyZH13_06G081800	SoyZH13_06G081800.m1	KEGG:R00630
SoyZH13_06G082400	SoyZH13_06G082400.m1	KEGG:R00214;KEGG:R00216
SoyZH13_06G082400	SoyZH13_06G082400.m2	KEGG:R00214;KEGG:R00216
SoyZH13_06G082400	SoyZH13_06G082400.m3	KEGG:R00214;KEGG:R00216
SoyZH13_06G082400	SoyZH13_06G082400.m4	KEGG:R00214;KEGG:R00216
SoyZH13_06G084400	SoyZH13_06G084400.m1	KEGG:R03428
SoyZH13_06G084400	SoyZH13_06G084400.m2	KEGG:R03428
SoyZH13_06G084400	SoyZH13_06G084400.m3	KEGG:R03428
SoyZH13_06G084400	SoyZH13_06G084400.m4	KEGG:R03428
SoyZH13_06G084400	SoyZH13_06G084400.m5	KEGG:R03428
SoyZH13_06G085000	SoyZH13_06G085000.m1	KEGG:R01639
SoyZH13_06G086300	SoyZH13_06G086300.m1	KEGG:R00341
SoyZH13_06G086400	SoyZH13_06G086400.m1	KEGG:R04109
SoyZH13_06G086600	SoyZH13_06G086600.m1	KEGG:R03876
SoyZH13_06G091200	SoyZH13_06G091200.m1	KEGG:R03362
SoyZH13_06G091200	SoyZH13_06G091200.m2	KEGG:R03362
SoyZH13_06G091200	SoyZH13_06G091200.m3	KEGG:R03362
SoyZH13_06G091200	SoyZH13_06G091200.m4	KEGG:R03362
SoyZH13_06G093700	SoyZH13_06G093700.m1	KEGG:R03876
SoyZH13_06G093700	SoyZH13_06G093700.m2	KEGG:R03876
SoyZH13_06G096500	SoyZH13_06G096500.m1	KEGG:R01826
SoyZH13_06G104200	SoyZH13_06G104200.m1	KEGG:R03469
SoyZH13_06G106100	SoyZH13_06G106100.m1	KEGG:R03469
SoyZH13_06G106300	SoyZH13_06G106300.m1	KEGG:R00630
SoyZH13_06G106300	SoyZH13_06G106300.m2	KEGG:R00630
SoyZH13_06G108100	SoyZH13_06G108100.m1	KEGG:R01616
SoyZH13_06G108100	SoyZH13_06G108100.m2	KEGG:R01616
SoyZH13_06G109100	SoyZH13_06G109100.m1	KEGG:R03876
SoyZH13_06G109600	SoyZH13_06G109600.m1	KEGG:R03532
SoyZH13_06G109600	SoyZH13_06G109600.m2	KEGG:R03532
SoyZH13_06G109600	SoyZH13_06G109600.m3	KEGG:R03532
